2025-02-23 18:50:50 - System Idle Process (PID: 0) - CPU: 1456.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:51:04 - System Idle Process (PID: 0) - CPU: 1455.3%, MEM: 4.972975607305997e-05%
2025-02-23 18:51:44 - System Idle Process (PID: 0) - CPU: 1437.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:51:50 - System Idle Process (PID: 0) - CPU: 1439.3%, MEM: 4.972975607305997e-05%
2025-02-23 18:52:04 - System Idle Process (PID: 0) - CPU: 1435.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:52:44 - System Idle Process (PID: 0) - CPU: 1448.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:52:50 - System Idle Process (PID: 0) - CPU: 1450.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:53:04 - System Idle Process (PID: 0) - CPU: 1459.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:53:44 - System Idle Process (PID: 0) - CPU: 1464.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:53:50 - System Idle Process (PID: 0) - CPU: 1462.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:54:04 - System Idle Process (PID: 0) - CPU: 1461.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:54:44 - System Idle Process (PID: 0) - CPU: 1420.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:54:50 - System Idle Process (PID: 0) - CPU: 1420.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:55:04 - System Idle Process (PID: 0) - CPU: 1414.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:55:44 - System Idle Process (PID: 0) - CPU: 1450.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:55:50 - System Idle Process (PID: 0) - CPU: 1450.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:56:04 - System Idle Process (PID: 0) - CPU: 1448.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:56:44 - System Idle Process (PID: 0) - CPU: 1435.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:56:50 - System Idle Process (PID: 0) - CPU: 1433.3%, MEM: 4.972975607305997e-05%
